Business Key,Business Name,Business Address,Longitude,Latitude,Project Location,Has Incoming Location,Incoming_OnStreetID,Incoming_OrientationID,Incoming_FromID,Incoming_ToID,Incoming_WhereTypeID,Incoming_ParkingTypeID,Has Incoming Volume,Incoming Parking Type,Incoming Vehicle Type,Monday Total,Tuesday Total,Wednesday Total,Thursday Total,Friday Total,Saturday Total,Sunday Total,Total Weekly Deliveries,Average Daily Weekday,Has Outgoing Deliveries,Make Deliveries Daily Total,Make Delivery Vehicles Fixed,Outgoing Where On Block,Outgoing Parking Type,Business_OnStreet,Business_Orientation,Business_From,Business_To,Has Double Parking Survey,Double Parking,Source Count,Survey Year
LABCORP | 230 LIVINGSTON ST BROOKLYN NY 11201 USA,LabCorp,"230 Livingston St, Brooklyn, NY, 11201, USA",-73.98503808,40.6893038,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
FIDO S RETREAT DOGGIE DAYCARE | 230 LIVINGSTON ST BROOKLYN NY 11201 USA,Fido’s Retreat Doggie Daycare,"230 Livingston St, Brooklyn, NY, 11201, USA",-73.98503808,40.6893038,LIVINGSTON STREET,1,LIVINGSTON STREET,South,ELM PLACE,HOYT STREET,Don't know,Bus lane,1,Bus lane,"Mail truck (e.g. USPS, FedEx, etc.)",0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,ELM PLACE,HOYT STREET,1,Unsure,1,2022
NATURE DELI | 228 LIVINGSTON ST BROOKLYN NY 11201 USA,Nature Deli,"228 Livingston St, Brooklyn, NY, 11201, USA",-73.98503854,40.689236,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
EMMY NAILS INC | 303 LIVINGSTON ST BROOKLYN NY 11217 USA,Emmy Nails Inc,"303 Livingston St, Brooklyn, NY, 11217, USA",-73.98157966,40.68815679,LIVINGSTON STREET,1,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,North,HANOVER PLACE,NEVINS STREET,1,Consistently,1,2022
AMINATA PROFESSIONAL AFRICAN HAIR BRAIDING | 305 LIVINGSTON ST BROOKLYN NY 11217 USA,AMINATA  PROFESSIONAL AFRICAN HAIR BRAIDING,"305 Livingston St, Brooklyn, NY, 11217, USA",-73.98151126,40.68812988,LIVINGSTON STREET,1,LIVINGSTON STREET,North,BOND STREET,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,North,BOND STREET,,1,Unsure,1,2022
BROOKLYN MARTIAL ARTS | 314 LIVINGSTON ST BROOKLYN NY 11217 USA,Brooklyn Martial Arts,"314 Livingston St, Brooklyn, NY, 11217, USA",-73.98215667,40.68810826,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,Across the street,Bus lane,1,Bus lane,"Mail truck (e.g. USPS, FedEx, etc.)",1,1,1,1,1,1,0,6,1.0,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Consistently,1,2022
XIFU FOOD | 318 LIVINGSTON ST BROOKLYN NY 11217 USA,Xifu Food,"318 Livingston St, Brooklyn, NY, 11217, USA",-73.98198275,40.68796727,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Double parked,1,Double parked,Cargo van,0,0,0,0,0,0,0,0,0.0,1,25.0,Third_party,In front of the business,Bike parking on sidewalk,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Consistently,1,2022
PRETTY LADY BRAIDING | 204 LIVINGSTON ST BROOKLYN NY 11201 USA,Pretty Lady Braiding,"204 Livingston St, Brooklyn, NY, 11201, USA",-73.98609734,40.68963586,LIVINGSTON STREET,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0.0,1,,,,,,,,,1,,1,2022
PORTA BELLA | 320 LIVINGSTON ST BROOKLYN NY 11217 USA,Porta Bella,"320 Livingston St, Brooklyn, NY, 11217, USA",-73.98197428,40.68803739,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Double parked,1,Double parked,Box truck,1,1,1,1,1,1,0,6,1.0,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Once or twice a day,1,2022
PATTY PLUS | 324 LIVINGSTON ST BROOKLYN NY 11217 USA,PATTY PLUS,"324 Livingston St, Brooklyn, NY, 11217, USA",-73.98183196,40.68798215,LIVINGSTON STREET,1,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,In front of the business,Bus lane,1,Bus lane,Car/Minivan/SUV,0,0,0,0,0,0,0,0,0.0,1,,,,,LIVINGSTON STREET,South,BOND STREET,NEVINS STREET,1,Consistently,1,2022
